AttractionId,AttractionCityId,AttractionTypeId,Attraction,AttractionAddress,CityId,CityName,CountryId,Country,RegionId,Region,ContinentId,Continent,AttractionType
369,3140,13,Kuta Beach - Bali,Kuta,3140,Kuta,101,Indonesia,14,South East Asia,3,Asia,Beaches
481,3095,13,Nusa Dua Beach,"Semenanjung Nusa Dua, Nusa Dua 80517 Indonesia",3095,Indonesia,101,Indonesia,14,South East Asia,3,Asia,Beaches
640,3285,63,Sacred Monkey Forest Sanctuary,"Jl. Monkey Forest, Ubud 80571 Indonesia",3285,Ubud,101,Indonesia,14,South East Asia,3,Asia,Nature & Wildlife Areas
650,3225,13,Sanur Beach,Sanur,3225,Sanur,101,Indonesia,14,South East Asia,3,Asia,Beaches
673,3230,13,Seminyak Beach,Seminyak,3230,Seminyak,101,Indonesia,14,South East Asia,3,Asia,Beaches
737,3122,76,Tanah Lot Temple,"Kecamatan Kediri, Kabupaten Tabanan, Beraban 82121 Indonesia",3122,Kediri,101,Indonesia,14,South East Asia,3,Asia,Religious Sites
748,3273,72,Tegalalang Rice Terrace,"Jalan Raya Ceking, Tegalalang 80517 Indonesia",3273,Tegalalang,101,Indonesia,14,South East Asia,3,Asia,Points of Interest & Landmarks
749,3125,93,Tegenungan Waterfall,"Jl. Raya Tegenungan, Kemenuh, Ubud 80581 Indonesia",3125,Kemenuh,101,Indonesia,14,South East Asia,3,Asia,Waterfalls
824,3288,76,Uluwatu Temple,"Jl. Raya Uluwatu Southern part of Bali, Pecatu 80361 Indonesia",3288,Uluwatu,101,Indonesia,14,South East Asia,3,Asia,Religious Sites
841,3140,92,Waterbom Bali,"Jl. Kartika Plaza, Kuta 80361 Indonesia",3140,Kuta,101,Indonesia,14,South East Asia,3,Asia,Water Parks
877,3156,13,Balekambang Beach,Malang District,3156,Malang,101,Indonesia,14,South East Asia,3,Asia,Beaches
888,3156,61,Bromo Tengger Semeru National Park,"Asrikaton - Pakis, Malang 65100 Indonesia",3156,Malang,101,Indonesia,14,South East Asia,3,Asia,National Parks
897,3156,93,Coban Rondo Waterfall,Malang District,3156,Malang,101,Indonesia,14,South East Asia,3,Asia,Waterfalls
913,3156,13,Goa Cina Beach,"Dusun Trowotratih, Desa Sitiarjo Kecamatan Sumbermanjing Wetan, Malang 65111 Indonesia",3156,Malang,101,Indonesia,14,South East Asia,3,Asia,Beaches
920,3156,64,Jodipan Colorful Village,"Gang 1 Jodipan, Kesatrian, Kec. Blimbing, Malang 65126 Indonesia",3156,Malang,101,Indonesia,14,South East Asia,3,Asia,Neighborhoods
928,3156,82,Khayangan Reflexology & Massage,Malang,3156,Malang,101,Indonesia,14,South East Asia,3,Asia,Spas
937,3156,72,Malang City Square,"Jl. Merdeka Utara, Malang 65119 Indonesia",3156,Malang,101,Indonesia,14,South East Asia,3,Asia,Points of Interest & Landmarks
947,3156,91,Mount Semeru Volcano,Malang Lumajang,3156,Malang,101,Indonesia,14,South East Asia,3,Asia,Volcanos
949,3156,84,Museum Malang Tempo Doeloe,"Jl. Gajahmada no. 2, Malang 65119 Indonesia",3156,Malang,101,Indonesia,14,South East Asia,3,Asia,Speciality Museums
975,3156,63,Sempu Island,"Sumber Manjing Wetan, Malang 65111 Indonesia",3156,Malang,101,Indonesia,14,South East Asia,3,Asia,Nature & Wildlife Areas
1133,3095,19,Jomblang Cave,"Jetis Wetan, Pacarejo, Semanu 55581 Indonesia",3095,Indonesia,101,Indonesia,14,South East Asia,3,Asia,Caverns & Caves
1137,3,61,Kalibiru National Park,Kulon Progo,3,N'Djamena,2,Chad,1,Central Africa,1,Africa,National Parks
1166,3296,34,Malioboro Road,Yogyakarta,3296,Yogyakarta,101,Indonesia,14,South East Asia,3,Asia,Flea & Street Markets
1171,3296,91,Merapi Volcano,Yogyakarta,3296,Yogyakarta,101,Indonesia,14,South East Asia,3,Asia,Volcanos
1220,3243,10,Ramayana Ballet at Prambanan,Sleman,3243,Sleman,101,Indonesia,14,South East Asia,3,Asia,Ballets
1225,3296,2,Ratu Boko Temple,Yogyakarta,3296,Yogyakarta,101,Indonesia,14,South East Asia,3,Asia,Ancient Ruins
1238,3296,2,Sewu Temple,Yogyakarta,3296,Yogyakarta,101,Indonesia,14,South East Asia,3,Asia,Ancient Ruins
1278,3095,45,Ullen Sentalu Museum,"Jl. Boyong Taman Wisata, 55581 Indonesia",3095,Indonesia,101,Indonesia,14,South East Asia,3,Asia,History Museums
1280,3095,72,Water Castle (Tamansari),"Jl. Taman, 55133 Indonesia",3095,Indonesia,101,Indonesia,14,South East Asia,3,Asia,Points of Interest & Landmarks
1297,3296,44,Yogyakarta Palace,Yogyakarta,3296,Yogyakarta,101,Indonesia,14,South East Asia,3,Asia,Historic Sites
1298,8937,Temple,Ancient Temple - -,"Main Street, -, -",8937,Street,163,United Kingdom,21,Western Europe,5,Europe,Other
1299,8937,Beach,Paradise Beach - -,"Main Street, -, -",8937,Street,163,United Kingdom,21,Western Europe,5,Europe,Other
1300,8937,Park,National Park - -,"Main Street, -, -",8937,Street,163,United Kingdom,21,Western Europe,5,Europe,Other
1301,8937,Museum,Cultural Heritage Center - -,"Main Street, -, -",8937,Street,163,United Kingdom,21,Western Europe,5,Europe,Other
1302,8937,Museum,Art Gallery - South Region,"Main Street, South Region, Cameroon",8937,Street,163,United Kingdom,21,Western Europe,5,Europe,Other
1303,8937,Market,Farmers' Market - South Region,"Main Street, South Region, Cameroon",8937,Street,163,United Kingdom,21,Western Europe,5,Europe,Other
1304,8937,Market,Night Market - South Region,"Main Street, South Region, Cameroon",8937,Street,163,United Kingdom,21,Western Europe,5,Europe,Other
1305,8937,Temple,Cathedral - South Region,"Main Street, South Region, Cameroon",8937,Street,163,United Kingdom,21,Western Europe,5,Europe,Other
1306,8937,Park,Eco Park - Douala,"Main Street, Douala, Cameroon",8937,Street,163,United Kingdom,21,Western Europe,5,Europe,Other
1307,8937,Museum,Art Gallery - Douala,"Main Street, Douala, Cameroon",8937,Street,163,United Kingdom,21,Western Europe,5,Europe,Other
1308,8937,Beach,Paradise Beach - Douala,"Main Street, Douala, Cameroon",8937,Street,163,United Kingdom,21,Western Europe,5,Europe,Other
1309,8937,Temple,Sacred Shrine - Douala,"Main Street, Douala, Cameroon",8937,Street,163,United Kingdom,21,Western Europe,5,Europe,Other
1310,8937,Beach,Crystal Bay - N'Djamena,"Main Street, N'Djamena, Chad",8937,Street,163,United Kingdom,21,Western Europe,5,Europe,Other
1311,8937,Market,Farmers' Market - N'Djamena,"Main Street, N'Djamena, Chad",8937,Street,163,United Kingdom,21,Western Europe,5,Europe,Other
1312,8937,Museum,Cultural Heritage Center - N'Djamena,"Main Street, N'Djamena, Chad",8937,Street,163,United Kingdom,21,Western Europe,5,Europe,Other
1313,8937,Market,Farmers' Market - N'Djamena,"Main Street, N'Djamena, Chad",8937,Street,163,United Kingdom,21,Western Europe,5,Europe,Other
1314,8937,Park,National Park - Kigali Province,"Main Street, Kigali Province, Rwanda",8937,Street,163,United Kingdom,21,Western Europe,5,Europe,Other
1315,8937,Beach,Crystal Bay - Kigali Province,"Main Street, Kigali Province, Rwanda",8937,Street,163,United Kingdom,21,Western Europe,5,Europe,Other
1316,8937,Museum,Science Museum - Kigali Province,"Main Street, Kigali Province, Rwanda",8937,Street,163,United Kingdom,21,Western Europe,5,Europe,Other
